rule_id,frag_from,frag_to,chemotype_from,chemotype_to,radius,env_id,n_pairs_env,n_pairs_global,context_chemotypes,context_example,n_props_sign_flip_vs_global,mean_d_Hf,z_Hf,mean_d_Q,z_Q,mean_d_OBgood,z_OBgood,mean_d_Pe,z_Pe,mean_d_D,z_D,mean_d_P,z_P,mean_d_IS,z_IS
28,[*:1]c1nnn([*:2])n1,[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,803,56,2457,azo:50;azole_ring:50;nitro:31;azide:26,[*:1]C.[*:2]N=Nc1[nH]c(N=[N+]=[N-])nc1N,5,-8.60143,-0.171474,-33.2952,-0.219023,0,0,-0.0259107,-0.328965,-0.0258638,-0.0575288,-0.0843057,-0.0228311,3.66469,0.0358363
64,[*:1]Nc1nnn([*:2])n1,[*:1]Nn1nnc([*:2])n1,azole_ring,azole_ring,2,51930040,47,550,azide:47;azole_ring:47;amino:47;nitro:32,[*:2]N=[N+]=[N-].[*:1]Nc1[nH]nc(N[N+](=O)[O-])c1N,5,-8.45745,-0.168603,-29.5933,-0.194671,0,0,-0.0233787,-0.296819,-0.0562426,-0.1251,-0.437396,-0.118453,-41.7741,-0.408501
60,[*:1]Nc1nnn([*:2])n1,[*:1]Nn1nnnc1[*:2],azole_ring,azole_ring,2,51930018,42,590,azide:42;azole_ring:42;amino:42;nitro:25,[*:2]N=[N+]=[N-].[*:1]Nc1[nH]cnc1O,5,-3.58221,-0.0714131,-12.875,-0.0846947,0,0,-0.010569,-0.134186,-0.00774114,-0.0172186,-0.00998587,-0.00270431,3.56573,0.0348686
15,[*:1]Nc1nnnn1[*:2],[*:1]Nn1nnnc1[*:2],azole_ring,azole_ring,2,16474950,39,593,azole_ring:39;amino:39;nitro:22;azide:16,[*:2]N.[*:1]Nc1[nH]c(N=[N+]=[N-])nc1O,5,-4.26385,-0.0850019,-16.7978,-0.110499,0,0,-0.0144205,-0.183084,-0.0235782,-0.052445,-0.144458,-0.0391213,23.356,0.228394
28,[*:1]c1nnn([*:2])n1,[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,5062660,38,2457,azoxy:38;azole_ring:38;nitro:27;nitramine:16,[*:1]C.[*:2][N+]([O-])=Nc1[nH]c(O)nc1N[N+](=O)[O-],5,-14.4947,-0.28896,-52.6547,-0.346374,0,0,-0.0391553,-0.497119,-0.0404832,-0.0900468,-0.155431,-0.0420928,18.1297,0.177286
11,[*:1]c1nnnn1[*:2],[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,45050862,24,1293,azide:24;azoxy:24;azole_ring:24;nitro:12,[*:1]N=[N+]([O-])n1c(N)nc(C)c1O.[*:2]N=[N+]=[N-],5,-7.01833,-0.139914,-23.9407,-0.157487,0,0,-0.0172542,-0.219061,-0.0554182,-0.123267,-0.482361,-0.13063,-13.026,-0.127379
15,[*:1]Nc1nnnn1[*:2],[*:1]Nn1nnnc1[*:2],azole_ring,azole_ring,2,17033042,23,593,azole_ring:23;amino:23;nitro:16;nitramine:13,[*:2]N.[*:1]Nn1c(C)nc(N[N+](=O)[O-])c1C,5,-3.0287,-0.0603785,-12.1298,-0.0797922,0,0,-0.0100217,-0.127237,-0.0140519,-0.0312556,-0.086909,-0.0235361,45.5222,0.445153
28,[*:1]c1nnn([*:2])n1,[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,18360549,22,2457,azole_ring:22;amino:22;nitro:13;azide:8,[*:2]N.[*:1]c1n[nH]c(C)c1O,5,-18.6632,-0.37206,-84.5929,-0.55647,0,0,-0.0671773,-0.85289,-0.0910854,-0.202601,-0.418439,-0.113319,44.4078,0.434255
28,[*:1]c1nnn([*:2])n1,[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,14428691,21,2457,azoxy:21;azole_ring:21;amino:21;nitro:14,[*:2]N.[*:1]N=[N+]([O-])n1c(C)nc(N)c1C,5,-1.19714,-0.0238656,-4.54504,-0.0298982,0,0,-0.00368095,-0.0467338,-0.016257,-0.0361605,-0.142993,-0.0387244,56.7776,0.555217
64,[*:1]Nc1nnn([*:2])n1,[*:1]Nn1nnc([*:2])n1,azole_ring,azole_ring,2,52815489,19,550,azide:19;azole_ring:19;amino:19;nitro:11,[*:2]N=[N+]=[N-].[*:1]Nn1c(N[N+](=O)[O-])nc(N)c1O,5,-6.00842,-0.119781,-23.0452,-0.151596,0,0,-0.0187053,-0.237484,-0.0455159,-0.101241,-0.350359,-0.094882,-72.6176,-0.710113
