fragment,chemotype,layer,n_attach,frag_heavy,n_total_pairs,n_contexts,A_Hf,s_Hf,n_Hf,fpos_Hf,t_Hf,A_Q,s_Q,n_Q,fpos_Q,t_Q,A_OBgood,s_OBgood,n_OBgood,fpos_OBgood,t_OBgood,A_Pe,s_Pe,n_Pe,fpos_Pe,t_Pe,A_D,s_D,n_D,fpos_D,t_D,A_P,s_P,n_P,fpos_P,t_P,A_IS,s_IS,n_IS,fpos_IS,t_IS
[*:1]c1nn([*:2])nc1N=[N+]=[N-],azide,linker,2,8,36909,2976,76.3902,36.0889,36909,0.925113,406.659,68.0003,113.541,36909,0.66561,115.06,3.55713,12.9561,36909,0.511772,52.7464,0.0383106,0.0624495,36909,0.692731,117.857,0.0716896,0.332387,36909,0.547671,41.436,0.291728,2.69335,36909,0.519087,20.809,11.4844,100.791,36909,0.567585,21.8902
[*:1]c1ncnn1[*:2],azole_ring,linker,2,5,36843,2922,-18.1262,36.3077,36843,0.315745,-95.8262,-63.7159,118.958,36843,0.33716,-102.809,-7.97135,13.3615,36843,0.206389,-114.513,-0.0394803,0.0630052,36843,0.275873,-120.277,-0.252558,0.336332,36843,0.17466,-144.136,-2.09629,2.71031,36843,0.168363,-148.46,10.6715,97.0296,36843,0.56776,21.1106
[*:1]c1nnnn1[*:2],azole_ring,linker,2,5,36729,8498,9.32455,38.6943,36729,0.709358,46.1833,47.9632,116.105,36729,0.673691,79.1702,6.07836,13.0562,36729,0.577037,89.2225,0.0505724,0.0778876,36729,0.787797,124.437,0.170754,0.353592,36729,0.641782,92.5491,1.24731,2.82522,36729,0.623431,84.6111,-11.4609,89.5364,36729,0.429007,-24.5315
[*:1]c1nn([*:2])nc1O,azole_ring,linker,2,6,36202,2971,-44.1044,36.4121,36202,0.064803,-230.464,-42.1237,114.734,36202,0.368737,-69.8555,2.14226,13.1219,36202,0.445832,31.0627,-0.0471516,0.061334,36202,0.221921,-146.272,-0.0240065,0.335319,36202,0.442351,-13.6219,-0.00715549,2.73178,36202,0.473206,-0.498378,-20.1156,91.9878,36202,0.413485,-41.6073
[*:1]c1nn([*:2])nc1[N+](=O)[O-],nitro,linker,2,8,35820,2968,1.07208,36.5879,35820,0.612647,5.54564,136.72,120.49,35820,0.90483,214.755,15.5405,13.362,35820,0.838498,220.118,0.0444552,0.061348,35820,0.745729,137.146,0.362701,0.333554,35820,0.852848,205.8,3.06128,2.72952,35820,0.852931,212.266,-28.7981,92.5668,35820,0.348409,-58.8804
[*:1]c1nnc(C)n1[*:2],azole_ring,linker,2,6,35290,3007,-21.744,36.0503,35290,0.264551,-113.307,-134.557,121.031,35290,0.130292,-208.852,-23.4349,13.2227,35290,0,-332.944,-0.0595553,0.063744,35290,0.179201,-175.512,-0.592669,0.332145,35290,0.080136,-335.206,-4.9045,2.72331,35290,0.0815245,-338.317,54.4809,122.237,35290,0.693993,83.7271
[*:1]c1nnc(N)n1[*:2],azole_ring,linker,2,6,34967,3020,-12.7605,36.6746,34967,0.386564,-65.0627,-111.719,116.707,34967,0.17874,-179.003,-7.66836,12.9866,34967,0.203306,-110.417,-0.031946,0.062036,34967,0.304001,-96.2945,-0.119422,0.330299,34967,0.318043,-67.6092,-0.926033,2.6966,34967,0.32422,-64.2155,43.5317,103.355,34967,0.685132,78.7596
[*:1]c1nn[nH]c1[*:2],azole_ring,linker,2,5,34610,3237,-20.4967,36.4238,34610,0.3,-104.689,-73.1402,116.673,34610,0.300665,-116.623,-7.99188,13.4426,34610,0.207194,-110.603,-0.0452123,0.061832,34610,0.240566,-136.033,-0.170322,0.33594,34610,0.262294,-94.3214,-1.27322,2.72376,34610,0.276683,-86.9634,-11.3435,97.4354,34610,0.465675,-21.6587
[*:1]c1nn([*:2])nc1N[N+](=O)[O-],nitramine,linker,2,9,34566,2819,9.2724,36.4608,34566,0.727275,47.2814,98.9118,118.251,34566,0.758867,155.513,14.2897,13.2873,34566,0.745849,199.946,0.0537787,0.0593151,34566,0.809842,168.566,0.364703,0.329103,34566,0.861916,206.03,3.04304,2.70299,34566,0.858503,209.309,-36.5553,92.4909,34566,0.31829,-73.4811
[*:1]c1nnc(N=[N+]=[N-])n1[*:2],azide,linker,2,8,34009,2943,69.7379,35.6346,34009,0.905525,360.906,42.7436,111.817,34009,0.587168,70.4954,3.34573,12.9729,34009,0.505043,47.5611,0.0191914,0.0602224,34009,0.569643,58.7686,0.0552775,0.332564,34009,0.529154,30.6528,0.255597,2.72295,34009,0.513835,17.3106,35.5146,96.3668,34009,0.677027,67.9637
