candidate_id,n_pairs,corr_Hf_Q,n_Hf_Q,corr_Hf_OBgood,n_Hf_OBgood,corr_Hf_Pe,n_Hf_Pe,corr_Hf_D,n_Hf_D,corr_Hf_P,n_Hf_P,corr_Hf_IS,n_Hf_IS,corr_Hf_nu,n_Hf_nu,corr_Q_OBgood,n_Q_OBgood,corr_Q_Pe,n_Q_Pe,corr_Q_D,n_Q_D,corr_Q_P,n_Q_P,corr_Q_IS,n_Q_IS,corr_Q_nu,n_Q_nu,corr_OBgood_Pe,n_OBgood_Pe,corr_OBgood_D,n_OBgood_D,corr_OBgood_P,n_OBgood_P,corr_OBgood_IS,n_OBgood_IS,corr_OBgood_nu,n_OBgood_nu,corr_Pe_D,n_Pe_D,corr_Pe_P,n_Pe_P,corr_Pe_IS,n_Pe_IS,corr_Pe_nu,n_Pe_nu,corr_D_P,n_D_P,corr_D_IS,n_D_IS,corr_D_nu,n_D_nu,corr_P_IS,n_P_IS,corr_P_nu,n_P_nu,corr_IS_nu,n_IS_nu
cand_041,3571,0.577805,3571,0.242883,3571,0.667756,3571,0.291312,3571,0.242824,3571,0.00668806,3571,,0,0.781254,3571,0.851282,3571,0.781617,3571,0.754356,3571,-0.346034,3571,,0,0.684646,3571,0.978484,3571,0.977989,3571,-0.540625,3571,,0,0.757281,3571,0.71758,3571,-0.329175,3571,,0,0.997384,3571,-0.524431,3571,,0,-0.522253,3571,,0,,0
cand_042,912,0.476714,912,0.298082,912,0.826182,912,0.480952,912,0.404181,912,0.0291165,912,,0,0.879177,912,0.62173,912,0.848393,912,0.844364,912,-0.144968,912,,0,0.476351,912,0.939351,912,0.957958,912,-0.203327,912,,0,0.702905,912,0.626244,912,-0.0139936,912,,0,0.993313,912,-0.154786,912,,0,-0.169801,912,,0,,0
cand_043,201,0.502522,201,0.303326,201,0.842963,201,0.50258,201,0.440996,201,-0.0349829,201,,0,0.816171,201,0.847762,201,0.855442,201,0.839325,201,-0.381378,201,,0,0.629014,201,0.960216,201,0.972435,201,-0.464233,201,,0,0.784639,201,0.731447,201,-0.217786,201,,0,0.99476,201,-0.415913,201,,0,-0.447091,201,,0,,0
cand_044,914,0.526124,914,0.316346,914,0.823272,914,0.517526,914,0.446538,914,0.0259563,914,,0,0.869085,914,0.659365,914,0.854073,914,0.847316,914,-0.34321,914,,0,0.48305,914,0.928972,914,0.949749,914,-0.37705,914,,0,0.73145,914,0.66021,914,-0.133787,914,,0,0.993529,914,-0.328967,914,,0,-0.35611,914,,0,,0
cand_045,621,0.553647,621,0.236886,621,0.772863,621,0.374182,621,0.313505,621,0.0610745,621,,0,0.808008,621,0.72815,621,0.813169,621,0.787142,621,-0.40598,621,,0,0.475008,621,0.954111,621,0.962885,621,-0.567106,621,,0,0.656104,621,0.594312,621,-0.211728,621,,0,0.995639,621,-0.5255,621,,0,-0.534223,621,,0,,0
cand_046,2215,0.570932,2215,0.197464,2215,0.677044,2215,0.293163,2215,0.238974,2215,0.145216,2215,,0,0.773232,2215,0.795803,2215,0.787435,2215,0.756765,2215,-0.295095,2215,,0,0.545472,2215,0.956163,2215,0.960889,2215,-0.549417,2215,,0,0.701986,2215,0.649974,2215,-0.266797,2215,,0,0.996669,2215,-0.533792,2215,,0,-0.540876,2215,,0,,0
cand_047,375,0.727266,375,0.385218,375,0.859012,375,0.514711,375,0.453799,375,-0.0913668,375,,0,0.791358,375,0.835142,375,0.827458,375,0.795537,375,-0.382173,375,,0,0.578394,375,0.965701,375,0.973162,375,-0.542574,375,,0,0.725837,375,0.6698,375,-0.30672,375,,0,0.995568,375,-0.534942,375,,0,-0.538384,375,,0,,0
cand_048,630,0.540462,630,0.230887,630,0.765407,630,0.364227,630,0.302918,630,0.0203766,630,,0,0.821224,630,0.738419,630,0.824323,630,0.79968,630,-0.407303,630,,0,0.505724,630,0.956605,630,0.965513,630,-0.570268,630,,0,0.677552,630,0.617381,630,-0.2796,630,,0,0.995791,630,-0.552445,630,,0,-0.555459,630,,0,,0
cand_049,384,0.731298,384,0.425039,384,0.847764,384,0.531226,384,0.47557,384,-0.0797982,384,,0,0.811533,384,0.842019,384,0.83097,384,0.801245,384,-0.389599,384,,0,0.620164,384,0.969126,384,0.974303,384,-0.579641,384,,0,0.746535,384,0.696105,384,-0.306956,384,,0,0.996073,384,-0.571638,384,,0,-0.582028,384,,0,,0
cand_050,3201,0.493168,3201,0.282227,3201,0.637324,3201,0.342833,3201,0.297765,3201,0.140111,3201,,0,0.874792,3201,0.598384,3201,0.827938,3201,0.814207,3201,-0.377048,3201,,0,0.468159,3201,0.958493,3201,0.963162,3201,-0.502694,3201,,0,0.632711,3201,0.580556,3201,-0.189068,3201,,0,0.99689,3201,-0.484346,3201,,0,-0.496969,3201,,0,,0
