candidate_id,n_pairs_total,n_pairs_vs_candidate,n_pairs_vs_database,n_unique_neighbors,n_unique_cand_frags,n_Hf,mean_d_Hf,median_d_Hf,std_d_Hf,frac_pos_d_Hf,n_Q,mean_d_Q,median_d_Q,std_d_Q,frac_pos_d_Q,n_OBgood,mean_d_OBgood,median_d_OBgood,std_d_OBgood,frac_pos_d_OBgood,n_Pe,mean_d_Pe,median_d_Pe,std_d_Pe,frac_pos_d_Pe,n_D,mean_d_D,median_d_D,std_d_D,frac_pos_d_D,n_P,mean_d_P,median_d_P,std_d_P,frac_pos_d_P,n_IS,mean_d_IS,median_d_IS,std_d_IS,frac_pos_d_IS,n_nu,mean_d_nu,median_d_nu,std_d_nu,frac_pos_d_nu
cand_046,2215,13,2202,1578,10,2215,-70.4598,-73.0522,49.904,0.100226,2215,-247.29,-245.094,105.051,0.00767494,2215,-29.3366,-28.5143,14.2915,0.00632054,2215,-0.21377,-0.2115,0.0699878,0.00316027,2215,-0.755851,-0.73413,0.396683,0.0148984,2215,-6.06055,-5.87979,3.48466,0.0266366,2215,100.435,76.0352,85.5329,0.989165,0,,,,
cand_047,375,8,367,365,6,375,-104.817,-108.729,46.4423,0.0213333,375,-430.996,-444.243,150.479,0.008,375,-46.2052,-42.2628,19.8801,0,375,-0.317631,-0.3279,0.103954,0.016,375,-1.39105,-1.35524,0.516753,0.00533333,375,-11.5021,-11.3765,4.1557,0.008,375,97.6205,73.477,86.4644,0.941333,0,,,,
cand_048,630,7,623,620,7,630,-91.5594,-91.0653,41.8252,0.015873,630,-372.683,-370.822,140.529,0.00793651,630,-40.7121,-39.641,19.2633,0.0142857,630,-0.272656,-0.27215,0.0876456,0.00793651,630,-1.06602,-1.06163,0.482129,0.0190476,630,-8.48598,-8.42441,4.04599,0.0238095,630,87.1576,60.4308,80.3608,0.993651,0,,,,
cand_049,384,5,379,376,6,384,-103.961,-110.227,45.4178,0.0260417,384,-432.417,-441.293,152.601,0.0078125,384,-47.3507,-46.5391,20.2129,0,384,-0.318979,-0.33405,0.101332,0.0130208,384,-1.4329,-1.39236,0.524808,0,384,-11.8732,-11.5715,4.19178,0.00260417,384,76.6759,51.5286,91.9859,0.708333,0,,,,
cand_050,3201,34,3167,1756,14,3201,-55.0279,-55.4094,54.6922,0.156514,3201,-211.741,-189.778,138.95,0.0406123,3201,-25.2927,-23.1911,18.7665,0.0621681,3201,-0.187004,-0.1837,0.0681129,0.00968447,3201,-0.724394,-0.691275,0.449279,0.0431115,3201,-5.95822,-5.66799,3.95014,0.0515464,3201,89.1019,62.2837,92.8383,0.783505,0,,,,
cand_051,313,23,290,299,8,313,-95.1348,-99.7896,53.9643,0.0447284,313,-469.212,-491.398,195.501,0.0351438,313,-45.2765,-44.0856,24.0469,0.0415335,313,-0.274996,-0.2843,0.127738,0.057508,313,-1.2208,-1.21093,0.581644,0.0415335,313,-9.8337,-9.84996,4.62047,0.0415335,313,139.428,158.788,87.6222,0.904153,0,,,,
cand_052,633,11,622,627,8,633,-89.1439,-91.3582,41.0255,0.014218,633,-360.33,-357.95,134.847,0.00947867,633,-40.5575,-39.6143,18.672,0.0173776,633,-0.265225,-0.2667,0.0840291,0.00631912,633,-1.12749,-1.10653,0.46426,0.0126382,633,-9.27419,-9.16885,3.90843,0.0173776,633,83.3184,55.4244,80.7531,0.988942,0,,,,
cand_053,2186,14,2172,1558,11,2186,-69.0412,-71.8227,49.8564,0.1043,2186,-238.312,-234.14,108.697,0.0128088,2186,-28.9801,-28.5143,14.496,0.00869167,2186,-0.207387,-0.20315,0.0710504,0.0073193,2186,-0.835165,-0.806796,0.399081,0.00960659,2186,-7.04613,-6.88624,3.49336,0.0114364,2186,88.063,63.8835,82.2779,0.934584,0,,,,
cand_054,316,21,295,307,8,316,-96.9792,-103.272,51.601,0.0537975,316,-476.101,-508.333,195.299,0.0379747,316,-45.3614,-45.3203,23.5146,0.0379747,316,-0.275611,-0.2905,0.122629,0.0601266,316,-1.21589,-1.25954,0.561644,0.0443038,316,-9.76996,-10.2013,4.49074,0.0443038,316,-91.6787,-80.1875,91.3065,0.259494,0,,,,
cand_055,640,7,633,632,7,640,-89.7474,-89.6271,40.3846,0.0171875,640,-360.276,-362.179,136.642,0.0109375,640,-40.6362,-39.6277,18.7799,0.0140625,640,-0.264801,-0.26645,0.0841348,0.009375,640,-1.15085,-1.11729,0.470978,0.00625,640,-9.53097,-9.35781,3.9521,0.009375,640,74.8079,46.8737,77.5005,0.917188,0,,,,
cand_056,2239,33,2206,1578,12,2239,-63.5394,-67.8969,49.2271,0.124163,2239,-226.521,-223.029,105.491,0.0183117,2239,-29.2959,-28.5143,14.5511,0.00893256,2239,-0.198977,-0.1984,0.0670459,0.0111657,2239,-0.880814,-0.85458,0.39576,0.00893256,2239,-7.6733,-7.47097,3.51099,0.00937919,2239,120.801,112.622,89.7671,0.922733,0,,,,
cand_057,1475,23,1452,1277,7,1475,-64.5245,-67.9952,49.2405,0.120678,1475,-270.664,-266.173,109.707,0.00881356,1475,-32.5941,-31.0232,15.1141,0.0040678,1475,-0.209191,-0.2093,0.0725642,0.0169492,1475,-0.904759,-0.867313,0.413131,0.0115254,1475,-7.71587,-7.48116,3.60981,0.0128814,1475,97.8113,92.2445,90.7678,0.792542,0,,,,
cand_058,2208,31,2177,1561,11,2208,-64.0653,-68.2116,48.5677,0.119565,2208,-223.728,-217.759,107.151,0.0208333,2208,-29.034,-28.1055,14.6164,0.00860507,2208,-0.197277,-0.1959,0.0666117,0.0126812,2208,-0.729062,-0.693392,0.395955,0.0226449,2208,-5.90987,-5.66538,3.50557,0.0335145,2208,120.814,108.285,89.8245,0.977808,0,,,,
cand_059,1903,27,1876,1056,11,1903,-56.5938,-59.6294,52.8595,0.143458,1903,-171.415,-165.634,168.285,0.150289,1903,-25.6533,-23.5275,19.9869,0.100893,1903,-0.239165,-0.2354,0.0899131,0.00893326,1903,-0.941752,-0.881596,0.442341,0.0105097,1903,-7.54251,-7.07515,3.58418,0.0105097,1903,124.421,139.234,83.3117,0.89753,0,,,,
cand_060,772,10,762,634,4,772,-102.729,-104.385,40.2653,0,772,-354.769,-365.096,152.854,0.00906736,772,-34.4972,-33.1693,18.8563,0.0310881,772,-0.278911,-0.28345,0.0885417,0.00259067,772,-1.06942,-1.02466,0.422804,0.00388601,772,-8.55339,-8.34057,3.43211,0.00388601,772,88.5349,113.227,82.4512,0.810881,0,,,,
cand_061,2208,28,2180,1555,10,2208,-62.8761,-68.0406,49.0676,0.12183,2208,-222.201,-218.636,104.497,0.0144928,2208,-28.9478,-28.2504,14.4907,0.00860507,2208,-0.196775,-0.19665,0.0648768,0.00634058,2208,-1.00074,-0.960728,0.390501,0,2208,-9.14595,-8.85097,3.46692,0,2208,75.7643,61.793,91.2896,0.712862,0,,,,
cand_062,1930,25,1905,1072,14,1930,-55.991,-58.7458,52.0711,0.137824,1930,-161.624,-153.867,169.985,0.175648,1930,-25.7677,-23.5275,20.0216,0.0948187,1930,-0.230904,-0.22735,0.0896793,0.0108808,1930,-0.866685,-0.811592,0.44341,0.0145078,1930,-6.73483,-6.32173,3.58533,0.0212435,1930,21.785,29.9751,90.2418,0.581865,0,,,,
