pair_id,candidate_id,neighbor_id,context_smiles,candidate_frag,neighbor_frag,d_Hf,d_Q,d_OBgood,d_Pe,d_D,d_P,d_IS,d_nu
256438524,cand_012,cand_054,[*:1]c1nnnn1N=[N+]=[N-],[*:1]NNn1ncnn1,[*:1]/N=[N+](/[O-])n1ncnn1,22.1272,236.909,16.9805,-0.0275,0.176272,1.93536,79.9022,
256438536,cand_060,cand_012,[*:1]c1nnnn1N=[N+]=[N-],[*:1]/N=N\c1nnnn1N,[*:1]NNn1ncnn1,-40.0354,-89.5362,-6.06414,0.0054,-0.151313,-1.64615,73.3949,
256438536,cand_012,cand_060,[*:1]c1nnnn1N=[N+]=[N-],[*:1]NNn1ncnn1,[*:1]/N=N\c1nnnn1N,40.0354,89.5362,6.06414,-0.0054,0.151313,1.64615,-73.3949,
256439358,cand_051,cand_054,[*:1]c1nnnn1N=[N+]=[N-],[*:1]/N=[N+](/[O-])n1cnnn1,[*:1]/N=[N+](/[O-])n1ncnn1,-0.592997,-2.65775,0,-0.002,-0.0192168,-0.204798,215.728,
256439358,cand_054,cand_051,[*:1]c1nnnn1N=[N+]=[N-],[*:1]/N=[N+](/[O-])n1ncnn1,[*:1]/N=[N+](/[O-])n1cnnn1,0.592997,2.65775,0,0.002,0.0192168,0.204798,-215.728,
256503996,cand_052,cand_055,[*:1]c1nnnn1N[N+](=O)[O-],[*:1]/N=[N+](/[O-])n1cnnn1,[*:1]/N=[N+](/[O-])n1ncnn1,-0.751129,-3.1023,0,-0.0023,0.0161135,0.201118,3.8875,
256503996,cand_055,cand_052,[*:1]c1nnnn1N[N+](=O)[O-],[*:1]/N=[N+](/[O-])n1ncnn1,[*:1]/N=[N+](/[O-])n1cnnn1,0.751129,3.1023,0,0.0023,-0.0161135,-0.201118,-3.8875,
264166980,cand_047,cand_049,[*:1]n1nnc([N+](=O)[O-])n1,[*:1]/N=[N+](/[O-])n1cnnn1,[*:1]/N=[N+](/[O-])n1ncnn1,-1.29142,-5.68655,0,-0.004,0.00117996,0.0393973,30.6396,
264166980,cand_049,cand_047,[*:1]n1nnc([N+](=O)[O-])n1,[*:1]/N=[N+](/[O-])n1ncnn1,[*:1]/N=[N+](/[O-])n1cnnn1,1.29142,5.68655,0,0.004,-0.00117996,-0.0393973,-30.6396,
256439364,cand_051,cand_059,[*:1]c1nnnn1N=[N+]=[N-],[*:1]/N=[N+](/[O-])n1cnnn1,[*:1]NNc1nnnn1N,-19.0903,-327.219,-17.7299,0.0126,-0.0862057,-0.92732,19.3644,
256439364,cand_059,cand_051,[*:1]c1nnnn1N=[N+]=[N-],[*:1]NNc1nnnn1N,[*:1]/N=[N+](/[O-])n1cnnn1,19.0903,327.219,17.7299,-0.0126,0.0862057,0.92732,-19.3644,
256439370,cand_060,cand_051,[*:1]c1nnnn1N=[N+]=[N-],[*:1]/N=N\c1nnnn1N,[*:1]/N=[N+](/[O-])n1cnnn1,-17.3152,150.03,10.9163,-0.0201,0.0441758,0.494017,-62.4309,
256439370,cand_051,cand_060,[*:1]c1nnnn1N=[N+]=[N-],[*:1]/N=[N+](/[O-])n1cnnn1,[*:1]/N=N\c1nnnn1N,17.3152,-150.03,-10.9163,0.0201,-0.0441758,-0.494017,62.4309,
256439376,cand_051,cand_062,[*:1]c1nnnn1N=[N+]=[N-],[*:1]/N=[N+](/[O-])n1cnnn1,[*:1]NNc1nnn(N)n1,-22.1588,-340.908,-17.7299,0.0003,-0.178037,-1.87053,103.202,
256439376,cand_062,cand_051,[*:1]c1nnnn1N=[N+]=[N-],[*:1]NNc1nnn(N)n1,[*:1]/N=[N+](/[O-])n1cnnn1,22.1588,340.908,17.7299,-0.0003,0.178037,1.87053,-103.202,
256440192,cand_054,cand_059,[*:1]c1nnnn1N=[N+]=[N-],[*:1]/N=[N+](/[O-])n1ncnn1,[*:1]NNc1nnnn1N,-18.4973,-324.561,-17.7299,0.0146,-0.0669889,-0.722522,-196.364,
256440192,cand_059,cand_054,[*:1]c1nnnn1N=[N+]=[N-],[*:1]NNc1nnnn1N,[*:1]/N=[N+](/[O-])n1ncnn1,18.4973,324.561,17.7299,-0.0146,0.0669889,0.722522,196.364,
256440198,cand_060,cand_054,[*:1]c1nnnn1N=[N+]=[N-],[*:1]/N=N\c1nnnn1N,[*:1]/N=[N+](/[O-])n1ncnn1,-17.9082,147.372,10.9163,-0.0221,0.024959,0.289218,153.297,
256440198,cand_054,cand_060,[*:1]c1nnnn1N=[N+]=[N-],[*:1]/N=[N+](/[O-])n1ncnn1,[*:1]/N=N\c1nnnn1N,17.9082,-147.372,-10.9163,0.0221,-0.024959,-0.289218,-153.297,
